Emp ID,First Name,Middle Initial,Last Name,Gender,EMail,Date of Birth,Age,Weight,Date of Joining,Quarter of Joining,Year of Joining,Month of Joining,Month Name of Joining,Short Month,Day of Joining,Age in Company,Salary,Last % Hike,SSN,Phone Num,Place Name,County,City,State,Zip
361215,Lisa,G,Wick,F,lisa.wick@gmail.com,12/25/1995,21.61,46,5/17/2017,Q2,2017,5,May,May,17,0.2,162121,26%,128-98-0472,423-540-1697,Memphis,Memphis,Memphis,TN,37544
787265,Frankie,S,Owings,M,frankie.owings@yahoo.co.in,6/15/1993,24.13,57,5/10/2017,Q2,2017,5,May,May,10,0.22,42901,10%,497-29-4210,314-538-1516,Sturgeon,Boone,Sturgeon,MO,65284
696561,Joe,K,Gowan,M,joe.gowan@comcast.net,4/20/1980,37.3,88,9/6/2013,Q3,2013,9,September,Sep,6,3.89,164300,27%,420-67-2813,236-683-3184,Blackstone,Blackstone,Blackstone,VA,23825
906336,Melisa,Z,Lomas,F,melisa.lomas@msn.com,10/29/1967,49.78,45,5/25/1998,Q2,1998,5,May,May,25,19.19,178886,8%,181-86-9822,205-562-1660,Mobile,Mobile,Mobile,AL,36631
630690,Jerilyn,J,Decker,F,jerilyn.decker@yahoo.com,8/26/1970,46.95,45,4/15/2014,Q2,2014,4,April,Apr,15,3.29,148791,6%,471-57-4154,216-629-1132,West Farmington,Trumbull,West Farmington,OH,44491
785482,Geoffrey,J,Lemmons,M,geoffrey.lemmons@gmail.com,3/25/1960,57.38,64,3/15/2008,Q1,2008,3,March,Mar,15,9.38,108088,15%,252-99-9315,339-946-3297,West Barnstable,Barnstable,West Barnstable,MA,2668
281990,Karima,S,Walz,F,karima.walz@sbcglobal.net,1/29/1992,25.51,48,9/17/2013,Q3,2013,9,September,Sep,17,3.86,93153,3%,075-02-6425,205-251-8144,Linden,Marengo,Linden,AL,36748
965373,Trey,M,Joshua,M,trey.joshua@hotmail.com,8/9/1986,30.99,90,7/8/2012,Q3,2012,7,July,Jul,8,5.06,59082,19%,256-99-1323,239-338-7233,Opa Locka,Miami-Dade,Opa Locka,FL,33055
674284,Kina,B,Mcvay,F,kina.mcvay@hotmail.com,6/20/1978,39.13,58,8/4/2012,Q3,2012,8,August,Aug,4,4.98,107926,7%,249-99-8599,304-882-9478,Huntington,Cabell,Huntington,WV,25708
214814,Sherman,C,Coward,M,sherman.coward@gmail.com,12/25/1982,34.61,54,12/19/2004,Q4,2004,12,December,Dec,19,12.61,191501,11%,756-12-7850,304-268-9429,Delbarton,Mingo,Delbarton,WV,25670
869212,Refugio,G,Bechtold,M,refugio.bechtold@gmail.com,3/4/1963,54.44,84,11/22/1987,Q4,1987,11,November,Nov,22,29.7,160455,22%,428-99-9971,210-262-8051,Gilmer,Upshur,Gilmer,TX,75644
133611,Felix,W,Imhoff,M,felix.imhoff@charter.net,1/9/1962,55.59,81,6/3/1985,Q2,1985,6,June,Jun,3,32.17,64560,16%,299-15-3804,205-298-6005,Needham,Choctaw,Needham,AL,36915
602077,Sammie,D,Irick,M,sammie.irick@charter.net,7/16/1967,50.07,80,7/12/2009,Q3,2009,7,July,Jul,12,8.05,149343,23%,647-21-5942,217-690-9432,Philo,Champaign,Philo,IL,61864
356131,Dominick,I,Yager,M,dominick.yager@aol.com,5/20/1984,33.21,70,12/18/2009,Q4,2009,12,December,Dec,18,7.61,93696,18%,567-99-9020,262-374-8234,Elroy,Juneau,Elroy,WI,53929
893395,Tatiana,I,Badillo,F,tatiana.badillo@walmart.com,3/10/1977,40.41,57,4/23/2012,Q2,2012,4,April,Apr,23,5.27,94534,8%,285-15-6291,209-371-6850,Farmington,San Joaquin,Farmington,CA,95230
716662,Ted,M,Baggett,M,ted.baggett@yahoo.ca,12/6/1983,33.67,85,2/2/2013,Q1,2013,2,February,Feb,2,4.48,100330,13%,236-55-2800,229-575-7546,Hillsboro,Jasper,Hillsboro,GA,31038
663907,Alec,Q,Odaniel,M,alec.odaniel@sbcglobal.net,12/17/1966,50.65,74,9/20/1991,Q3,1991,9,September,Sep,20,25.87,88011,11%,196-84-5971,405-469-6189,Leflore,Le Flore,Leflore,OK,74942
293254,Gricelda,U,Hower,F,gricelda.hower@microsoft.com,6/19/1992,25.12,58,7/18/2017,Q3,2017,7,July,Jul,18,0.03,179761,27%,027-92-0935,423-362-0530,Flag Pond,Unicoi,Flag Pond,TN,37657
936407,Hung,H,Ontiveros,M,hung.ontiveros@hotmail.com,8/14/1974,42.98,62,4/4/1997,Q2,1997,4,April,Apr,4,20.33,170128,5%,714-18-8376,217-955-0988,Eleroy,Stephenson,Eleroy,IL,61027
357807,Noe,V,Stanger,M,noe.stanger@verizon.net,6/9/1984,33.16,77,12/6/2016,Q4,2016,12,December,Dec,6,0.64,192182,20%,520-61-5247,236-530-3927,The Plains,The Plains,The Plains,VA,22171
874367,Omar,J,Chadwick,M,omar.chadwick@ntlworld.com,5/23/1989,28.2,69,9/18/2013,Q3,2013,9,September,Sep,18,3.86,176559,10%,031-92-1134,339-360-7443,Lynnfield,Essex,Lynnfield,MA,1940
704625,Adena,W,Engram,F,adena.engram@gmail.com,3/26/1965,52.38,57,10/16/2006,Q4,2006,10,October,Oct,16,10.79,141816,11%,316-35-5611,270-855-9637,Hyden,Leslie,Hyden,KY,41749
351818,Vickie,P,Reimer,F,vickie.reimer@comcast.net,3/16/1967,50.4,48,3/4/2010,Q1,2010,3,March,Mar,4,7.41,120879,20%,483-41-4377,303-619-9407,Littleton,Arapahoe,Littleton,CO,80161
385228,Keshia,R,Clyburn,F,keshia.clyburn@yahoo.co.uk,4/12/1991,26.31,59,1/23/2014,Q1,2014,1,January,Jan,23,3.51,69187,19%,654-38-4491,423-847-9717,Arnold Afb,Coffee,Arnold Afb,TN,37389
860032,Rueben,T,Peloquin,M,rueben.peloquin@gmail.com,7/29/1972,45.03,76,2/22/1994,Q1,1994,2,February,Feb,22,23.44,117767,9%,137-25-1532,206-229-3390,Underwood,Skamania,Underwood,WA,98651
766077,Tangela,A,Woody,F,tangela.woody@ntlworld.com,1/12/1966,51.58,43,4/2/2017,Q2,2017,4,April,Apr,2,0.32,41509,30%,550-99-3971,217-399-1379,Elmhurst,DuPage,Elmhurst,IL,60126
334344,Erika,J,Mackinnon,F,erika.mackinnon@walmart.com,6/23/1979,38.12,50,8/7/2006,Q3,2006,8,August,Aug,7,10.98,171835,12%,597-92-2598,210-392-3555,La Coste,Medina,La Coste,TX,78039
159220,Granville,A,Wortman,M,granville.wortman@gmail.com,5/17/1991,26.22,74,1/26/2014,Q1,2014,1,January,Jan,26,3.5,66201,22%,669-48-5284,228-936-1989,Gallman,Copiah,Gallman,MS,39077
817786,Elden,Z,Ordonez,M,elden.ordonez@gmail.com,9/22/1993,23.86,75,10/4/2015,Q4,2015,10,October,Oct,4,1.82,197078,10%,095-02-9924,218-567-6725,Crosslake,Crow Wing,Crosslake,MN,56442
609177,Rosaria,P,Buettner,F,rosaria.buettner@gmail.com,3/10/1988,29.4,59,3/27/2009,Q1,2009,3,March,Mar,27,8.34,112525,11%,762-12-0845,215-967-4072,Jessup,Lackawanna,Jessup,PA,18434
989292,Mariela,A,Santoyo,F,mariela.santoyo@yahoo.com,4/15/1990,27.3,45,6/29/2011,Q2,2011,6,June,Jun,29,6.08,191952,5%,540-83-6500,201-325-7376,Oak Ridge,Passaic,Oak Ridge,NJ,7438
530532,Peter,W,Mercer,F,peter.mercer@sbcglobal.net,4/24/1989,28.28,58,9/29/2010,Q3,2010,9,September,Sep,29,6.83,146358,30%,397-33-8781,212-532-0310,Staten Island,Richmond,Staten Island,NY,10306
917607,Odis,F,Theis,M,odis.theis@gmail.com,3/12/1977,40.41,56,11/24/2013,Q4,2013,11,November,Nov,24,3.68,55083,8%,607-87-6727,209-991-2644,Harmony,San Luis Obispo,Harmony,CA,93435
446216,Hector,Y,Knott,M,hector.knott@microsoft.com,6/23/1974,43.13,72,1/14/2009,Q1,2009,1,January,Jan,14,8.54,123075,24%,340-11-9967,231-756-8538,Rochester,Oakland,Rochester,MI,48309
402001,Dorris,I,Vaught,F,dorris.vaught@gmail.com,4/16/1991,26.3,52,2/22/2017,Q1,2017,2,February,Feb,22,0.43,166591,22%,518-89-9704,239-699-7316,Tampa,Hillsborough,Tampa,FL,33663
409810,Kris,H,Shotwell,F,kris.shotwell@hotmail.com,11/8/1987,29.74,44,1/23/2016,Q1,2016,1,January,Jan,23,1.51,83573,10%,197-84-7548,219-295-6751,Webster,Wayne,Webster,IN,47392
927560,Long,F,Hudspeth,M,long.hudspeth@gmail.com,10/15/1986,30.81,61,1/22/2017,Q1,2017,1,January,Jan,22,0.51,60039,9%,443-27-5010,228-441-8841,Utica,Hinds,Utica,MS,39175
806331,Vincenzo,L,Whiteley,M,vincenzo.whiteley@hotmail.com,7/5/1992,25.08,72,12/4/2013,Q4,2013,12,December,Dec,4,3.65,58403,11%,447-27-8979,229-389-8098,Tiger,Rabun,Tiger,GA,30576
151735,Reyes,N,Holmes,M,reyes.holmes@hotmail.com,6/4/1967,50.18,75,12/20/2007,Q4,2007,12,December,Dec,20,9.61,70020,2%,719-18-0984,314-216-2321,Saint Louis,St. Louis (city),Saint Louis,MO,63113
670371,Deedra,X,Bosch,F,deedra.bosch@gmail.com,6/10/1968,49.16,46,12/16/2004,Q4,2004,12,December,Dec,16,12.62,165045,2%,235-57-0554,209-810-5884,Madera,Madera,Madera,CA,93636
949914,Jaunita,F,Mcmorris,F,jaunita.mcmorris@gmail.com,6/10/1972,45.16,46,7/29/1996,Q3,1996,7,July,Jul,29,21.01,160352,26%,249-99-5502,217-783-5514,Oak Brook,DuPage,Oak Brook,IL,60523
327161,Kam,G,Hazel,F,kam.hazel@hotmail.com,5/29/1981,36.19,56,7/10/2012,Q3,2012,7,July,Jul,10,5.05,43286,23%,079-02-4430,319-812-8571,Andrew,Jackson,Andrew,IA,52030
381129,Flavia,T,Kowalski,F,flavia.kowalski@hotmail.com,5/19/1994,23.21,55,6/29/2017,Q2,2017,6,June,Jun,29,0.08,97912,0%,538-71-9268,252-905-3835,Durham,Durham,Durham,NC,27708
273207,Mike,L,Rohr,M,mike.rohr@gmail.com,8/24/1988,28.95,56,1/23/2012,Q1,2012,1,January,Jan,23,5.52,173750,8%,450-99-8172,206-285-4778,Sprague,Lincoln,Sprague,WA,99032
601692,Bret,A,Beall,M,bret.beall@hotmail.com,7/24/1984,33.03,77,4/28/2017,Q2,2017,4,April,Apr,28,0.25,57086,18%,273-17-1586,219-608-5355,Tennyson,Warrick,Tennyson,IN,47637
879855,Adrian,Y,Rayborn,F,adrian.rayborn@gmail.com,2/28/1966,51.45,46,10/26/2013,Q4,2013,10,October,Oct,26,3.76,144529,23%,678-22-6773,423-999-8278,Red Boiling Springs,Macon,Red Boiling Springs,TN,37150
421181,Sidney,X,Lindstrom,F,sidney.lindstrom@cox.net,3/29/1985,32.35,52,6/8/2017,Q2,2017,6,June,Jun,8,0.14,139848,18%,124-98-8645,314-820-5803,Vandalia,Audrain,Vandalia,MO,63382
614206,Mitchel,T,Ness,M,mitchel.ness@hotmail.co.uk,10/18/1967,49.81,88,10/4/2011,Q4,2011,10,October,Oct,4,5.82,170951,27%,568-99-7188,219-557-3004,Kimmell,Noble,Kimmell,IN,46760
195233,Carlton,D,Jalbert,M,carlton.jalbert@shaw.ca,9/8/1959,57.93,58,2/5/2013,Q1,2013,2,February,Feb,5,4.48,56462,23%,362-39-4302,212-532-3562,New Berlin,Chenango,New Berlin,NY,13411
471845,Jeanett,N,Darden,F,jeanett.darden@gmail.com,3/9/1960,57.42,49,6/17/1988,Q2,1988,6,June,Jun,17,29.13,53469,12%,073-02-5369,252-345-8040,Charlotte,Mecklenburg,Charlotte,NC,28261
527371,Kenya,J,Irizarry,F,kenya.irizarry@hotmail.co.uk,10/23/1982,34.79,41,11/13/2016,Q4,2016,11,November,Nov,13,0.7,91814,11%,349-08-3359,701-539-4671,Denhoff,Sheridan,Denhoff,ND,58430
315817,Marti,W,Brewton,F,marti.brewton@gmail.com,4/16/1979,38.31,42,6/22/2015,Q2,2015,6,June,Jun,22,2.1,198686,24%,111-98-5790,216-684-2632,Nashville,Holmes,Nashville,OH,44661
363186,Lynsey,Q,Hairston,F,lynsey.hairston@walmart.com,10/21/1973,43.8,59,9/23/2005,Q3,2005,9,September,Sep,23,11.85,42358,25%,703-18-7347,480-396-7828,Claypool,Gila,Claypool,AZ,85532
594072,Lauran,V,Paradise,F,lauran.paradise@verizon.net,10/25/1984,32.78,57,8/24/2011,Q3,2011,8,August,Aug,24,5.93,88478,6%,031-92-3484,209-675-1177,Glendora,Los Angeles,Glendora,CA,91740
282436,Darin,J,Deegan,M,darin.deegan@hotmail.com,3/18/1984,33.38,62,3/24/2012,Q1,2012,3,March,Mar,24,5.35,48702,9%,539-71-2808,212-666-9385,Glenham,Dutchess,Glenham,NY,12527
907609,Ervin,J,Wescott,M,ervin.wescott@ibm.com,4/16/1958,59.32,65,9/27/1980,Q3,1980,9,September,Sep,27,36.86,182279,5%,653-60-8570,304-752-8232,Ovapa,Clay,Ovapa,WV,25150
127957,Nelia,T,Lopez,F,nelia.lopez@gmail.com,1/9/1989,28.57,41,7/9/2011,Q3,2011,7,July,Jul,9,6.06,88806,6%,347-08-2073,270-967-8350,Louisville,Jefferson,Louisville,KY,40290
457092,Forrest,V,Wille,M,forrest.wille@gmail.com,11/12/1971,45.74,59,7/18/2005,Q3,2005,7,July,Jul,18,12.04,157455,20%,234-57-3290,304-234-3508,Superior,Superior,Superior,WV,24886
776926,Hans,L,Haggard,M,hans.haggard@gmail.com,5/20/1960,57.23,80,6/12/2002,Q2,2002,6,June,Jun,12,15.14,56812,15%,010-94-6547,228-728-1390,Algoma,Pontotoc,Algoma,MS,38820
284601,Felton,B,Tooley,M,felton.tooley@aol.com,1/14/1994,23.55,79,5/4/2017,Q2,2017,5,May,May,4,0.23,192833,8%,532-71-1533,228-870-6874,Terry,Hinds,Terry,MS,39170
